ID_Eleve,Nom,Prenom,Classe,OBJ1_Question,OBJ1_Reponse,OBJ2_Question,OBJ2_Reponse,OBJ3_Question,OBJ3_Reponse,OBJ4_Question,OBJ4_Reponse,OBJ5_Question,OBJ5_Reponse,OBJ6_Question,OBJ6_Reponse,OBJ7_Question,OBJ7_Reponse,OBJ8_Question,OBJ8_Reponse,OBJ9_Question,OBJ9_Reponse,OBJ10_Question,OBJ10_Reponse,OBJ1_Score,OBJ2_Score,OBJ3_Score,OBJ4_Score,OBJ5_Score,OBJ6_Score,OBJ7_Score,OBJ8_Score,OBJ9_Score,OBJ10_Score,Total_Score,Rep_Score,Compare_Score,Equiv_Score,Ops_Score,Groupe,Couleur,Reco_Pedago,Groupe_Label,Couleur_HEX
E001,Lefebvre,Tom,5A,2/5,2/6,7/8,1.13,6/7_5/7,>,3/8_3/7,<,2/5,4/10,6/10,6/10,4/6+1/6,5/6,4/6-1/6,3/0,3×2/2,6/6,1/5_de_15,3,0,0,1,1,1,1,1,0,0,1,6,0,2,2,2,C,Jaune,"Ciblage opérations : équivalences, entraînement guidé + erreurs typiques.",Renforcement opérations,#F1C40F
E002,Moreau,Louis,5A,5/6,5/7,4/2,0.5,4/8_5/8,<,5/6_5/5,>,2/2,8/8,8/16,8/16,3/5+1/5,4/5,6/7-1/7,5/7,4×5/3,9/3,3/2_de_30,15,0,0,1,0,1,1,1,1,0,0,5,0,1,2,2,C,Jaune,"Ciblage opérations : équivalences, entraînement guidé + erreurs typiques.",Renforcement opérations,#F1C40F
E003,Garcia,Clara,5A,1/6,6/1,7/4,1.75,2/8_6/8,>,4/7_4/8,>,1/5,4/20,12/24,6/12,1/8+2/8,3/16,5/7-4/7,1/7,6×4/3,24/3,3/3_de_12,12,0,1,0,1,1,1,0,1,1,1,7,1,1,2,3,B,Vert,"Varier les contextes, automatiser sans perdre le sens : exercices courts, verbalisation de méthode, mini-quiz.",Consolidation (solides),#2ECC71
E004,Martin,Lucas,5A,5/7,5/7,2/2,1.0,2/5_1/5,>,3/9_3/6,>,3/3,12/12,2/12,1/6,3/5+1/5,4,5/7-1/7,-4/7,5×5/5,25/5,3/5_de_15,9,1,1,1,0,1,1,0,0,1,1,7,2,1,2,2,B,Vert,"Varier les contextes, automatiser sans perdre le sens : exercices courts, verbalisation de méthode, mini-quiz.",Consolidation (solides),#2ECC71
E005,Michel,Nathan,5A,7/3,7/4,7/8,0.88,1/5_2/5,<,3/9_3/5,<,2/4,6/12,3/12,1/4,1/5+3/5,4,4/4-3/4,1/4,6×5/2,30/2,4/4_de_12,48,0,0,1,1,1,1,0,1,1,0,6,0,2,2,2,C,Jaune,"Ciblage opérations : équivalences, entraînement guidé + erreurs typiques.",Renforcement opérations,#F1C40F
E006,Thomas,Ethan,5A,3/8,2/8,5/4,0.75,4/5_3/5,>,5/4_5/3,<,2/5,6/15,6/9,2/3,2/4+1/4,3/4,4/7-3/7,-1/7,5×5/6,25/6,4/6_de_24,16,0,0,1,1,1,1,1,0,1,1,7,0,2,2,3,B,Vert,"Varier les contextes, automatiser sans perdre le sens : exercices courts, verbalisation de méthode, mini-quiz.",Consolidation (solides),#2ECC71
E007,Robert,Jade,5A,8/2,8/2,2/2,1.0,1/3_2/3,<,5/3_5/7,>,1/4,4/16,6/4,3/2,2/8+5/8,7,3/4-1/4,2/4,2×5/3,10/3,1/5_de_30,6,1,1,1,1,1,1,0,1,1,1,9,2,2,2,3,A,Vert foncé,"Défis : problèmes ouverts, justification, liens fractions↔proportionnalité, comparaisons fines, situations de partage complexes.",Approfondissement (experts),#0B6E4F
E008,Moreau,Zoé,5A,1/6,1/6,4/4,1.0,1/4_3/4,<,5/5_5/6,<,4/3,8/6,3/6,1/2,1/3+1/3,2,6/7-5/7,1/7,5×1/4,5/4,3/6_de_18,9,1,1,1,0,1,1,0,1,1,1,8,2,1,2,3,B,Vert,"Varier les contextes, automatiser sans perdre le sens : exercices courts, verbalisation de méthode, mini-quiz.",Consolidation (solides),#2ECC71
E009,Leroy,Camille,5A,1/6,1/6,4/5,0.8,5/7_6/7,<,2/4_2/9,>,3/5,6/10,4/16,1/4,1/3+1/3,2/3,8/8-4/8,4/8,6×4/5,24/30,3/6_de_30,15,1,1,1,1,1,1,1,1,0,1,9,2,2,2,3,A,Vert foncé,"Défis : problèmes ouverts, justification, liens fractions↔proportionnalité, comparaisons fines, situations de partage complexes.",Approfondissement (experts),#0B6E4F
E010,Leroy,Léa,5A,4/2,4/2,5/4,1.25,3/6_5/6,<,4/3_4/5,>,1/2,2/4,2/10,2/10,3/5+1/5,4/5,6/6-4/6,-2/6,6×4/2,10/2,1/5_de_30,6,1,1,1,1,1,1,1,0,0,1,8,2,2,2,2,B,Vert,"Varier les contextes, automatiser sans perdre le sens : exercices courts, verbalisation de méthode, mini-quiz.",Consolidation (solides),#2ECC71
